user_id,age,gender,signup_date,last_active_date,country,subscription_type,average_watch_hours,mobile_app_usage_pct,complaints_raised,received_promotions,referred_by_friend,is_churned,monthly_fee
1001,56,Other,02-04-25,13-07-25,France,Standard,42.6,77.4,1,No,No,1,10.99
1002,69,Male,02-01-23,13-07-25,India,Basic,65.3,98,4,No,Yes,1,5.99
1003,46,Male,21-08-22,13-07-25,UK,Premium,40.1,47.8,0,No,Yes,1,13.99
1004,32,Other,14-09-23,13-07-25,Germany,Premium,5.8,53.2,1,Yes,Yes,1,13.99
1005,60,Female,29-07-23,13-07-25,India,Standard,32.7,16.8,5,No,Yes,0,9.99
1006,25,Male,25-06-23,13-07-25,USA,Premium,40,24.7,1,No,Yes,0,13.99
1007,38,Male,15-02-23,13-07-25,UK,Premium,57.8,83.9,0,No,Yes,0,14.99
1008,56,Male,20-12-22,13-07-25,Germany,Premium,9,35.6,5,No,Yes,0,14.99
1009,36,Other,30-05-25,13-07-25,UK,Standard,11.6,82.7,1,No,Yes,0,
1010,40,Male,07-11-24,13-07-25,France,Basic,21.5,70.9,5,Yes,Yes,0,6.99
1011,28,Other,26-11-22,13-07-25,USA,Standard,21.7,17.7,0,No,No,0,
1012,28,Other,16-01-25,13-07-25,France,Basic,58.7,50.7,0,Yes,Yes,0,5.99
1013,41,Other,29-04-24,13-07-25,France,Premium,20.4,67.7,5,Yes,Yes,0,14.99
1014,53,Male,01-09-22,13-07-25,Canada,Premium,50.8,23.5,2,No,Yes,0,13.99
1015,57,Other,29-08-22,13-07-25,UK,Basic,39.8,83.1,3,Yes,No,0,5.99
1016,41,Female,06-12-22,13-07-25,UK,Standard,46.1,54.5,1,Yes,No,0,
1017,20,Male,18-06-23,13-07-25,India,Standard,67.1,16.5,1,No,No,0,10.99
1018,39,Male,10-07-23,13-07-25,USA,Standard,32.6,58.3,2,Yes,Yes,0,9.99
1019,19,Male,06-09-24,13-07-25,USA,Basic,61.8,100,2,No,No,0,5.99
1020,41,Male,03-02-25,13-07-25,Canada,Premium,34.1,15.1,2,No,Yes,0,13.99
1021,61,Male,24-08-22,13-07-25,USA,Premium,28.6,81.7,4,Yes,Yes,0,13.99
1022,47,Other,01-12-24,13-07-25,UK,Premium,76.7,20.7,4,Yes,Yes,0,
1023,55,Other,18-05-23,13-07-25,Canada,Basic,15.2,78.2,5,No,Yes,0,5.99
1024,19,Male,18-04-25,13-07-25,USA,Premium,7.7,73.5,4,Yes,No,0,13.99
1025,38,Other,07-07-25,13-07-25,Canada,Premium,61.8,30,0,No,Yes,0,13.99
1026,50,Male,06-11-24,13-07-25,USA,Standard,5.9,32.6,5,Yes,No,0,9.99
1027,29,Other,25-04-24,13-07-25,USA,Premium,67,79.3,1,Yes,Yes,0,13.99
1028,39,Other,21-06-23,13-07-25,India,Standard,35.3,46.1,3,Yes,No,0,
1029,61,Other,10-06-24,13-07-25,USA,Basic,73.3,73.1,0,No,No,1,5.99
1030,42,Other,14-01-25,13-07-25,Canada,Standard,57.9,14.8,1,No,No,0,9.99
1031,66,Female,19-09-23,13-07-25,UK,Premium,49,85.3,1,Yes,Yes,1,13.99
1032,44,Male,24-07-22,13-07-25,India,Premium,76,71.1,5,No,No,0,13.99
1033,59,Female,19-03-23,13-07-25,USA,Standard,32,90.7,2,Yes,Yes,0,10.99
1034,45,Other,02-07-25,13-07-25,USA,Premium,76.3,13.2,2,No,Yes,0,13.99
1035,33,Female,30-04-24,13-07-25,Canada,Standard,11.2,59.3,0,Yes,No,0,10.99
1036,32,Male,24-12-23,13-07-25,India,Premium,39,59.9,2,Yes,Yes,0,13.99
1037,64,Male,18-09-23,13-07-25,USA,Standard,22,35.3,1,Yes,Yes,0,9.99
1038,68,Other,12-03-23,13-07-25,UK,Standard,43.4,45.8,2,No,Yes,0,9.99
1039,61,Female,13-06-23,13-07-25,France,Basic,13.4,3.8,4,Yes,Yes,0,5.99
1040,69,Female,18-12-23,13-07-25,UK,Standard,67.4,74.6,2,Yes,Yes,0,10.99
1041,20,Female,19-12-22,13-07-25,USA,Standard,67.8,54.9,1,No,No,0,9.99
1042,54,Male,05-12-22,13-07-25,UK,Basic,76.4,5.8,5,No,Yes,0,5.99
1043,68,Male,24-02-24,13-07-25,India,Premium,12.8,68.1,0,No,Yes,0,13.99
1044,24,Female,11-12-22,13-07-25,USA,Standard,50.1,46.7,3,No,Yes,0,9.99
1045,38,Male,22-01-24,13-07-25,Canada,Basic,38.2,3.4,2,Yes,Yes,1,
1046,26,Male,30-12-23,13-07-25,India,Basic,27.9,97,1,Yes,No,1,5.99
